post_date,verified,resultid,submittingmemberid,submittingplayerid,winner1id,win1_utr,win1_verutr,loser1id,los1_utr,los1_verutr,score,gamesplayed,finalized
2019-04-25,myutr,15597080,78712,230673,230673,,7.99,1197118,12.0,0.0,"6-0, 6-0, 6-0",18,1
2019-04-24,myutr,15541645,160488,1356735,107264,,10.52,1356735,8.84,9.18,"6-4, 6-2",18,1
2019-04-22,myutr,15530196,42321,99738,99738,7.84,7.71,200165,7.27,7.3,"6-3, 6-3",18,1
2019-04-25,myutr,15598180,141228,985573,142136,,9.47,985573,11.0,6.37,"6-2, 6-4",18,1
2019-04-25,myutr,15585950,29108,206996,96561,,8.49,206996,,7.27,"6-0, 7-5",18,1
2019-04-23,myutr,15537647,77756,664272,288496,,3.65,664272,,3.67,"2-6, 6-3, 1-0",18,1
2019-04-25,myutr,15598197,195420,1360102,1360102,7.0,0.0,233519,,8.47,"6-0, 6-0, 6-0",18,1
2019-04-22,myutr,15530098,144757,294293,188221,8.27,8.31,294293,6.62,6.61,"6-4, 6-2",18,1
2019-04-25,myutr,15597087,195683,1360857,1360857,13.0,0.0,47300,,11.67,"6-3, 6-3",18,1
2019-04-24,myutr,15579615,88641,981432,100589,,10.03,981432,8.0,6.28,"7-5, 6-0",18,1
2019-04-23,myutr,15534272,117812,310461,310461,4.0,7.7,304066,,8.14,"6-2, 6-4",18,1
2019-04-24,myutr,15585602,138084,310783,310783,9.0,7.98,994252,,7.98,"6-4, 6-2",18,1
2019-04-25,myutr,15597094,3461,150414,150414,,8.47,245489,,7.8,"6-0, 6-0, 6-0",18,1
2019-04-25,myutr,15585906,112811,920979,920979,6.0,5.49,929501,,3.68,"6-2, 6-4",18,1
2019-04-26,myutr,15598289,88128,895230,1250154,,3.89,895230,,2.25,"6-3, 6-3",18,1
2019-04-23,myutr,15531869,84025,296326,102137,5.37,5.54,296326,5.18,5.32,"6-3, 6-3",18,1
2019-04-24,myutr,15563379,120045,943309,943309,1.0,3.59,1287755,5.0,0.0,"6-2, 6-4",18,1
2019-04-22,myutr,15530231,130087,300696,300696,6.99,7.02,950728,5.92,5.91,"6-3, 6-3",18,1
2019-04-25,myutr,15597088,37877,245489,245489,,7.8,68957,,12.53,"6-0, 6-0, 6-0",18,1
2019-04-25,myutr,15597077,71296,679249,679249,,7.2,1360857,13.0,0.0,"6-0, 6-0, 6-0",18,1
2019-04-23,myutr,15537759,135789,996344,996344,8.0,8.19,996348,7.99,8.26,"6-4, 4-4",18,1
2019-04-22,myutr,15530283,101290,370507,370507,5.53,5.51,1286602,5.58,5.83,"6-3, 6-3",18,1
2019-04-25,myutr,15597078,146270,293164,293164,,3.4,1360857,13.0,0.0,"6-0, 6-0, 6-0",18,1
2019-04-23,myutr,15531828,24636,120926,120926,10.22,10.22,120932,9.43,9.46,"6-4, 6-2",18,1
2019-04-24,myutr,15541691,147353,947547,223712,8.0,7.38,947547,5.0,5.44,"6-3, 6-3",18,1
2019-04-26,myutr,15598333,195803,1360930,1360930,5.0,0.0,233519,,8.47,"6-0, 6-0, 6-0",18,1
2019-04-24,myutr,15568155,30790,284975,284975,,6.6,176960,,6.2,"6-3, 2-6, 1-0",18,1
2019-04-24,myutr,15585770,114441,957111,957111,2.0,3.21,874269,,1.68,"7-5, 6-0",18,1
2019-04-24,myutr,15568158,167956,373911,41425,,11.58,373911,10.0,0.0,"6-4, 6-2",18,1
2019-04-24,myutr,15577603,84201,820651,820651,,10.46,387523,,10.29,"6-0, 7-5",18,1
2019-04-26,myutr,15598288,88128,895230,895230,,2.25,1250154,,3.89,"6-2, 6-4",18,1
2019-04-25,myutr,15585887,18577,116411,116411,,9.19,182434,,9.43,"6-4, 6-2",18,1
2019-04-22,myutr,15530159,86968,243137,142419,10.09,10.27,243137,8.49,8.47,"6-3, 6-3",18,1
2019-04-24,myutr,15568365,21138,192338,192338,6.47,0.0,411596,9.22,9.71,"6-2, 6-4",18,1
2019-04-22,myutr,15530244,134223,993398,993398,6.17,0.0,884243,4.61,4.48,"2-6, 6-3, 1-0",18,1
2019-04-22,myutr,15530232,21185,96451,96451,9.89,9.91,370387,10.09,10.14,"6-2, 6-4",18,1
2019-04-23,myutr,15533469,186629,787518,787518,,4.92,972019,,4.48,"6-3, 6-3",18,0
2019-04-25,myutr,15589374,146380,788755,788755,,10.01,302271,,10.61,"6-4, 6-2",18,1
2019-04-25,myutr,15585990,112646,100319,100319,14.0,10.18,1022721,14.0,7.38,"6-2, 6-4",18,1
2019-04-24,myutr,15566712,162255,179852,179852,5.0,4.42,150813,,4.07,"6-2, 6-4",18,1
2019-04-23,myutr,15537630,114227,213250,213250,7.0,6.8,1164050,7.0,7.77,"6-4, 6-2",18,1
2019-04-22,myutr,15530082,120172,270738,270738,5.05,4.98,1250727,4.94,4.98,"6-3, 6-3",18,1
2019-04-22,myutr,15530323,42271,213654,213654,8.93,8.64,178248,9.81,9.86,"7-5, 6-0",18,1
2019-04-22,myutr,15530279,37847,1301834,1301834,10.1,10.05,120006,9.17,9.21,"7-5, 6-0",18,1
2019-04-24,myutr,15576539,20750,1032782,1032782,,12.27,391986,,12.15,"6-4, 6-2",18,1
2019-04-22,myutr,15530282,101290,370507,369168,6.18,6.19,370507,5.53,5.51,"6-4, 6-2",18,1
2019-04-23,myutr,15535177,64664,118355,85766,,11.25,118355,,8.6,"6-2, 6-4",18,1
2018-11-13,myutr,13682377,97922,862588,836798,5.25,0.0,862588,4.58,0.0,"6-1, 4-6, 1-0",18,1
2019-04-24,myutr,15568032,162612,657448,657448,10.0,8.57,123074,,9.38,"6-3, 6-3",18,1
2019-04-24,myutr,15541698,194769,291683,436151,9.21,9.2,291683,,6.52,"3-6, 6-2, 1-0",18,1
2019-04-23,myutr,15530434,47670,1025907,1025907,9.63,9.6,262337,9.25,9.31,"6-2, 6-4",18,1
2019-04-23,myutr,15535168,188141,1331148,1357427,,,1331148,2.0,0.0,"6-2, 6-4",18,0
2019-04-22,myutr,15530353,157217,916446,916446,6.0,4.92,380907,,4.63,"6-2, 6-4",18,0
2019-04-25,myutr,15585936,112811,920979,920979,6.0,5.49,878183,,4.07,"6-2, 6-4",18,1
2019-04-22,myutr,15530329,59598,152290,148601,9.37,9.39,152290,8.56,8.52,"6-2, 6-4",18,1
2019-04-23,myutr,15537677,193925,136192,145051,,8.81,136192,3.45,0.0,"6-4, 6-2",18,1
2019-04-25,myutr,15585858,13068,99441,99441,,9.75,117745,,9.18,"6-4, 6-2",18,1
2019-04-25,myutr,15585904,112811,920979,920979,6.0,5.49,1295503,7.0,0.0,"6-2, 6-4",18,1
2019-04-23,myutr,15530421,35648,412882,412882,6.75,6.65,908926,6.96,7.1,"6-4, 6-2",18,1
2019-04-24,myutr,15552134,5602,192211,192211,11.0,8.75,134867,,8.65,"6-2, 6-4",18,1
2019-04-24,myutr,15541643,59247,119298,119298,,7.68,176569,,7.24,"6-4, 6-2",18,1
2019-04-26,myutr,15598203,90385,857749,162743,,7.6,857749,,5.07,"6-2, 6-4",18,1
2019-04-25,myutr,15585888,39287,182434,182434,,9.43,116411,,9.19,"6-4, 6-2",18,1
2019-04-25,myutr,15586028,112819,130923,130923,9.0,8.18,285891,8.0,7.1,"6-2, 6-4",18,1
2019-04-24,myutr,15566199,118922,937062,937062,6.0,0.0,1358471,,,"6-2, 6-4",18,0
2019-04-26,myutr,15598264,106202,183839,183839,9.0,8.09,120029,,7.22,"6-3, 6-3",18,1
2019-04-23,myutr,15534848,74976,254694,254694,,4.55,197836,4.08,4.29,"6-4, 6-2",18,1
2019-04-22,myutr,15530141,14314,89147,177460,11.43,11.87,89147,10.79,10.94,"0-6, 6-4, 1-0",17,1
2019-04-23,myutr,15537681,124122,132557,132557,7.53,7.44,1027748,,9.53,"6-3, 6-2",17,1
2019-04-22,myutr,15530160,190348,298355,298355,8.39,8.07,125844,7.76,7.79,"6-2, 6-3",17,1
